category,name
Income,Salary
Income,Meal vouchers
Income,Annual bonus
Income,Cultural voucher
Income,Holiday bonus
Income,Holiday gift bonus
Income,Interest from EC accounts and deposits
Income,Stock market dividends
Income,Freelance
Basic Expenses,Life insurance
Basic Expenses,Optional insurance
Basic Expenses,PAD insurance
Basic Expenses,Bolt
Basic Expenses,Dentist
Basic Expenses,Doctor
Basic Expenses,Electricity
Basic Expenses,Maintenance
Basic Expenses,Gas
Basic Expenses,Waste
Basic Expenses,Clothing
Basic Expenses,Footwear
Basic Expenses,Internet + TV + Phone
Basic Expenses,Medical investigations
Basic Expenses,Medication
Basic Expenses,Subway
Basic Expenses,Credit card installment
Basic Expenses,Mortgage installment
Basic Expenses,STB
Basic Expenses,Supermarket
Basic Expenses,Scooters
Basic Expenses,Uber
Basic Expenses,Others
Optional Expenses,Gym subscription
Optional Expenses,Bitdefender antivirus
Optional Expenses,Accommodation
Optional Expenses,Gifts
Optional Expenses,Books
Optional Expenses,Concerts
Optional Expenses,Emag Genius
Optional Expenses,Movie
Optional Expenses,GitHub Copilot
Optional Expenses,Google Drive
Optional Expenses,Hobbies
Optional Expenses,Games
Optional Expenses,Toys
Optional Expenses,Food delivery
Optional Expenses,Tourist attractions
Optional Expenses,Mortgage prepayment
Optional Expenses,Restaurants
Optional Expenses,Theatre
Optional Expenses,Vacation transport
Optional Expenses,Web hosting
Optional Expenses,World of Warcraft game time
Optional Expenses,YouTube Premium
Optional Expenses,Refund
Optional Expenses,Others
Savings and Investments,Stock market
Savings and Investments,Optional
Savings and Investments,Savings
Income,Others
Basic Expenses,Apartment advance payment
Basic Expenses,Notary expenses
Optional Expenses,Revolut
Basic Expenses,Parking advance payment
Optional Expenses,Netflix