id,book_type,book_language,authors,image,title,book_genre,rating,published_date,description,isbn_13,page_count,book_status,date_added,date_read,goodreads_link,goodreads_book_id,goodreads_image_link
1,1,1,Emma Clayton,,Racnetul,,4.05,,"<p><span style=""color:hsl(0,0%,0%);"">Intr-un viitor sumbru, oamenii folosesc chimicale nocive pentru a combate Ciuma Animala care a facut ca toate animalele de pe pamant sa turbeze, aducand planeta intr-un stadiu de nelocuit. Populatia umana traieste refugiata in orase supraaglomerate. Mika are 12 ani si locuieste in Londra impreuna cu parintii sai, in conditii deplorabile. Despre sora sa geamana, Ellie, se spune ca s-ar fi inecat cu un an in urma, insa Mika nu crede ca este adevarat. Si are dreptate. Povestea incepe cu Ellie si o maimutica, Puck, incercand sa scape de pe o nava spatiala. Incercarea le este ingreunata de maleficul Mal Gorman, care cauta sa-i adune pe toti copiii nascuti dupa izbucnirea Ciumei, pentru a-si construi o armata. Iar Gorman are intr-adevar planuri mari pentru Mika si Ellie, ale caror mutatii ii fac sa aiba puteri speciale. Pentru a-si salva sora, Mika va trebui sa infrunte o gramada de obstacole si sa-si descopere noi puteri pe care nici nu le banuia.</span></p>",9786066092869,346,,2021-12-22,2022-01-02,https://www.goodreads.com/book/show/42945266-racnetul,42945266,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1543092826i/42945266.jpg
2,1,1,Ștefan Ciocioi,,Legiunea de Abur,,4.2,,"<p><span style=""color:hsl(0, 0%, 0%);"">Degradarea Lumii este un fenomen supranatural care afectează corpurile la scurt timp după moarte și le șterge amintirile din memoria colectivă a umanității, ca un val care revendică marile castele de nisip înapoi în ocean. Numai Locotenentul William Cobb, prin abilitatea sa, poate merge pe drumurile neatinse ale realității, cu barca în amonte, peste fluviile aurii ale universului. Iar dacă cărările l-ar aduce vreodată față în față cu divinitatea, ai săi ar fi Ochii care L-ar vedea pe Dumnezeu.Trimis în orașul natal pentru a rezolva o crimă aparent imposibilă, Will descoperă o conspirație care poate duce la schimbarea întregului continent. Pășind între realitate și lumea din spatele ei, urmărind firele sorții înainte și înapoi prin timp, acesta trebuie să scoată totul la suprafață înainte ca Degradarea Lumii să îl prindă din urmă și să îl tragă după ea în adâncuri.</span></p>",9786069706138,410,,2021-12-31,,https://www.goodreads.com/book/show/56291377-legiunea-de-abur,56291377,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1607988001i/56291377.jpg
3,1,1,Ștefan Ciocioi,,Rezistența ,,4.78,,"<p><span style=""color:hsl(0, 0%, 0%);"">Devenit noul cârmuitor al Linierei, Eldric se găsește în preajma unui șir interminabil de probleme și dileme morale. În timp ce Daetria își continuă nestingherită expansiunea, tânărul rege este forțat să își aloce toate forțele pentru a combate facțiunile rebele de pe noul său teritoriu, încercând totodată să deslușească misterul din spatele reîntoarcerii la viață a morților.De partea cealaltă a Planariei, Talia se înrolează în armata lui Sylas pentru a se răzbuna pe cel care i-a răpit totul și a lăsat-o singură pe lume. Odată cu descoperirea unei organizații împotriva Zeului de Foc, își va putea sacrifica liniștea sufletească pentru binele întregului continent?</span></p>",9786069479629,268,,2021-12-31,,https://www.goodreads.com/book/show/53194523-rezisten-a,53194523,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1587128933i/53194523.jpg
4,1,1,Ștefan Ciocioi,,Încleștarea Epocilor ,,4.64,,"<p><span style=""color:hsl(0, 0%, 0%);"">Sub amenințarea unei invazii iminente, popoarele din sudul Planariei sunt forțate să treacă la măsuri drastice. Ecouri străvechi retrezesc magia la viață, zeii se intorc pe pământ, iar moartea nu mai înseamnă sfârșitul. Este o binecuvântare sau un blestem?Pe fondul unor fenomene inexplicabile apărute chiar între zidurile orașului său, prințul Eldric Linus ajunge să descopere unul dintre secretele pe care se sprijină această lume și este nevoit să aleagă între responsabilitatea față de regat și propriul său destin.</span></p>",9786069479612,330,,2021-12-31,,https://www.goodreads.com/book/show/53194462-ncle-tarea-epocilor,53194462,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1587128387i/53194462.jpg
5,1,1,Ștefan Ciocioi,,Cele douăsprezece încuietori,,4.25,,"<p><span style=""color:hsl(0, 0%, 0%);"">Cutremurul care a schimbat lumea...Un singur om a supraviețuit Rupturii Continentale și a trăit să spună povestea mai departe. Prins în epicentrul catastrofei, acesta descoperă în adâncurile pământului o poartă ferecată încă din epoca Zeilor. Cu lacătele cedând, omul își asumă sarcina de a preveni apocalipsa....se resimte și cinci sute de ani mai târziu.Sub amenințarea unei invazii iminente, popoarele din sudul Planariei sunt forțate să treacă la măsuri drastice. Ecouri străvechi retrezesc magia la viață, iar moartea nu mai înseamnă sfârșitul. Este o binecuvântare sau un blestem?Când lui Eldric Linus, prințul unui regat mic din sudul continentului, i se dezvăluie unul dintre secretele pe care se sprijină stâlpii acestei lumi, acesta trebuie să aleagă între responsabilitatea față de popor și propriul său destin.Va putea să-și salveze regatul înainte ca încuietorile să se desfacă pentru totdeauna?</span></p>",9786068894485,330,,2021-12-31,,https://www.goodreads.com/book/show/37776896-cele-dou-sprezece-ncuietori,37776896,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1514668532i/37776896.jpg
6,1,2,Josh Malerman,,Malorie ,,3.8,,"<p><span style=""color:hsl(0, 0%, 0%);"">Now from the mind of a true master of suspense comes the next chapter in Bird Box. This time, Malorie is front and center, and she will confront the dangers of her world head-on.Twelve years after Malorie and her children rowed up the river to safety, a blindfold is still the only thing that stands between sanity and madness. One glimpse of the creatures that stalk the world will drive a person to unspeakable violence. There remains no explanation. No solution.All Malorie can do is survive.But then comes what feels like impossible news. And with it, the first time Malorie has allowed herself to hope. Someone very dear to her, someone she believed dead, may be alive.Malorie has a harrowing choice to make: to live by the rules of survival that have served her so well, or to venture into the darkness and reach for hope once more.</span></p>",,301,,2020-12-21,,https://www.goodreads.com/book/show/44510181-malorie,44510181,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1585099104i/44510181.jpg
7,1,2,Gwenda Bond,,Suspicious Minds ,,3.6,,"<p><span style=""color:hsl(0, 0%, 0%);"">A mysterious lab. A sinister scientist. A secret history. If you think you know the truth behind Eleven’s mother, prepare to have your mind turned Upside Down in this thrilling prequel to the hit show Stranger Things.It’s the summer of 1969, and the shock of conflict reverberates through the youth of America, both at home and abroad. As a student at a quiet college campus in the heartland of Indiana, Terry Ives couldn’t be further from the front lines of Vietnam or the incendiary protests in Washington.But the world is changing, and Terry isn’t content to watch from the sidelines. When word gets around about an important government experiment in the small town of Hawkins, she signs on as a test subject for the project, codenamed MKUltra. Unmarked vans, a remote lab deep in the woods, mind-altering substances administered by tightlipped researchers . . . and a mystery the young and restless Terry is determined to uncover.But behind the walls of Hawkins National Laboratory—and the piercing gaze of its director, Dr. Martin Brenner—lurks a conspiracy greater than she could have ever imagined. To face it, she’ll need the help of her fellow test subjects, including one so mysterious the world doesn’t know she exists—a young girl with unexplainable, superhuman powers and a number instead of a name: 008.Amid the rising tensions of the new decade, Terry Ives and Martin Brenner have begun a different kind of war—one where the human mind is the battlefield.</span></p>",,304,,2020-12-21,,https://www.goodreads.com/book/show/40535559-suspicious-minds,40535559,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1540238761i/40535559.jpg
8,1,1,Stephen Booth,,Cainele negru ,,3.83,,"<p><span style=""color:hsl(0, 0%, 0%);"">Atunci cand Laura Vernon - o adolescenta isteata si sexy - dispare de acasa, intr-o vara lunga si fierbinte abatuta peste tinutul Peak District, politia locala intreprinde ample operatiuni de cautare, apeland la toate resursele disponibile. Cadavrul este insa gasit in cele din urma de Harry Dickinson, un fost miner care pare hotarat sa obstructioneze ancheta politiei. Pana si parintii victimei ascund ceva. Dar ce ar putea fi oare mai important decat descoperirea criminalului? Ben Cooper, un tanar detectiv a carui viata ascunde un lung sir de necazuri, ii cunoaste pe sateni dintotdeauna; dar sentimentele lui legate de acest caz sunt puse la indoiala de sosirea la sectia de politie a lui Diane Fry - un detectiv ambitios si neinduplecat, transferat de la o alta divizie. Pe masura ce investigatia inainteaza cu greu, cu toate suisurile si coborasurile ei, Ben si Diane descopera ca, pentru a intelege prezentul, trebuie mai intai de toate sa inteleaga trecutul.</span></p>",9789731037226,0,,2020-03-02,2020-03-07,https://www.goodreads.com/book/show/50268882-cainele-negru,50268882,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1578121378i/50268882.jpg
9,1,1,Alex Michaelides,,Pacienta tăcută,,4.18,,"<p><span style=""color:hsl(0, 0%, 0%);"">Viața Aliciei Berenson este aparent perfectă. Pictoriță renumită căsătorită cu un fotograf de modă, ea trăiește într-o casă superbă, cu vedere spre parc, într-una dintre zonele cele mai dorite din Londra. Într-o seară, soțul ei Gabriel se întoarce acasă târziu de la o ședință foto, iar Alicia îl împușcă de cinci ori în față și apoi rămâne tăcută mai mulți ani.Refuzul Aliciei de a vorbi sau de a da orice fel de explicații transformă o tragedie domestică în ceva mult mai teribil, un mister care captează imaginația publică și o face pe Alicia celebră. Prețul tablourilor sale crește astronomic, iar ea, pacienta tăcută, este ascunsă de tabloide și de lumina reflectoarelor la The Grove, un spital psihiatric de maximă securitate din nordul Londrei.Theo Faber este un psihoterapeut care a așteptat multă vreme oportunitatea de a lucra cu Alicia. Hotărârea lui de a o face să vorbească și să dezvăluie misterul motivului pentru care și-a împușcat soțul îl poartă pe un drum plin de primejdii – o căutare a adevărului care amenință să-l distrugă...Pacienta tăcută este un thriller psihologic șocant despre un act de violență extrem al unei femei împotriva soţului ei – și despre un terapeut obsedat de descoperirea motivului din spatele acestui act...</span></p>",9786063336065,368,,2020-03-02,2021-07-12,https://www.goodreads.com/book/show/45152448-pacienta-t-cut,45152448,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1586807396i/45152448.jpg
10,1,1,Ruth Ware,,Moartea doamnei  Westaway,,3.81,,"<p><span style=""color:hsl(0, 0%, 0%);"">Deşi nu crede în arta divinaţiei, Hal Westaway îşi câştigă traiul ca ghicitoare în tarot. Când găseşte în cutia poştală o scrisoare prin care este anunţată că a primit o moştenire considerabilă de la o anume Hester Mary Westaway, înţelege repede că e o greşeală. Dar ştie şi că poate folosi trucurile din cartomanţie pentru a pune mâna pe bani.Hal hotărăşte să meargă la înmormântarea femeii, însă, odată ajunsă acolo, îşi dă seama că a nimerit în mijlocul unei situaţii încâlcite şi că toţi cei prezenţi încearcă să pună mâna pe moştenire.Lucrurile nu sunt deloc atât de simple pe cât păreau la început. Oare ce mister ascunde moartea doamnei Westaway?""Moartea doamnei Westaway este cel mai bun roman de până acum al lui Ruth Ware: un mister greu de dezlegat, suspans bine dozat şi o eroină foarte perspicace şi perseverentă."" – Library Journal„Ruth Ware ştie cum să-i ţină cu sufletul la gură pe fanii thrillerului psihologic."" – USA Today„Proza foarte expresivă, personajele învăluite în mister şi intriga neobişnuită te fac să citeşti pe nerăsuflate această tulburătoare dramă de familie."" – Publishers Weekly„Un thriller foarte reuşit, care aminteşte de tradiţia romanului gotic."" - The Wall Street Journal</span></p>",9786064006554,464,,2020-03-02,2021-05-07,https://www.goodreads.com/book/show/52115910-moartea-doamnei-westaway,52115910,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1569865490l/52115910.jpg
11,1,,Leigh Bardugo,,The Grisha Trilogy ,,4.3,,"<p><span style=""color:hsl(0, 0%, 0%);"">In a lavish world where darkness reigns and science collides with superstition, Alina Starkov has the power to save her country…but it comes with a price in The Grisha Trilogy by New York Times-bestselling author Leigh Bardugo.Included in this bundle are Shadow and Bone, Siege and Storm, and Ruin and Rising.</span></p>",9781627799546,1248,,2021-04-28,,https://www.goodreads.com/book/show/27280362-the-grisha-trilogy,27280362,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1445967108i/27280362.jpg
12,1,1,Mo Hayder,,Omul-Pasare ,,3.89,,"<p><span style=""color:hsl(0, 0%, 0%);"">Unele crime sunt socante. Alte crime sunt terifiante. Iar altele sfideaza imaginatia. Inca bantuit de uciderea fratelui sau, petrecuta cu zeci de ani in urma, detectivul Caffery se lasa absorbit de cazul a cinci femei mutilate ale caror cadavre, descoperite la marginea Londrei, scot la iveala numeroase fapte abominabile... inclusiv un mic „cadou“ aflat in interiorul corpului fiecareia. Caffery nu isi imagineaza insa cat de puternic este cel impotriva caruia lupta, profunzimea intunecimii din sufletul criminalului sau care va fi cea mai cutremuratoare revelatie... Cercetarile politiei se deruleaza intr-un crescendo frenetic si criminalul este incoltit. Pentru un oras inspaimantat, cosmarul se incheie, in sfarsit. Sau inca nu?</span></p>",9789731035598,384,,2020-11-22,2021-04-20,https://www.goodreads.com/book/show/25078113-omul-pasare,25078113,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1425573657i/25078113.jpg
13,1,,Jessica Barry,,Cadere libera,,3.8,,"<p><span style=""color:hsl(0, 0%, 0%);"">""Cartea nu este doar captivanta, ci si o poveste minunatadespre dragostea neconditionata a unei mame pentru fiica ei.Nici ca ar avea nevoie de alta recomandare.""-Aimee Molloy, The New York Times""O surpriza captivanta.""-People MagazineCand viata e o minciuna, adevarul te poate ucide.Cand avionul privat al logodnicului ei se prabuseste in muntii Colorado, Allison Carpenter supravietuieste miraculos. Dar lupta pentru supravietuire abia incepe. De ani intregi, Allison traieste cu un secret teribil, pentru care oameni puternici ar ucide ca sa-l ingroape pentru totdeauna. Daca afla ca traieste, vor veni dupa ea. Trebuie sa ajunga acasa.In oraselul Owl Creek din Maine, Maggie Carpenter afla ca singurul ei copil este considerat mort. Insa autoritatile nu i-au gasit trupul - dandu-i lui Maggie un strop de speranta.Pe cand Allison se zbate sa supravietuiasca in salbaticia tradatoare a muntilor, Maggie pleaca in cautarea disperata a unor raspunsuri. Nu stie nimic despre viata fiicei ei de peste doi ani, dar, patrunzand in viata lui Allison, descopera o mondena alunecoasa care ascunde secrete intunecate. De ce anume fugea Allison - si poate Maggie sa descopere adevarul la timp pentru a o salva?</span></p>",,416,,2021-04-05,2021-04-13,https://www.goodreads.com/book/show/54811969-cadere-libera,54811969,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1596540165i/54811969.jpg
14,1,1,Michael Punke,,Răzbunătorul. Legenda lui Hugh Glass,,3.96,,"<p><span style=""color:hsl(0, 0%, 0%);"">Cartea care a inspirat filmul The Revenant: legenda lui Hugh Glass„O teribilă poveste despre trădare."" -- The Washington Post Book WorldSuntem în anul 1823 şi vânătorii de blănuri ai Companiei Rocky Mountain Fur duc o viaţă brutală de frontieră. Hugh Glass e unul din cei mai buni oameni ai Companiei, un neînfricat pionier al frontierei, specialist în găsirea urmelor. Dar o misiune de cercetare îl aduce faţă în faţă cu un urs grizzly, care îl mutilează groaznic, iar ceilalţi nu mai speră ca el să supravieţuiască. Doi oameni ai Companiei sunt desemnaţi să aibă grijă de Glass până moare. Însă după ce aceştia îl jefuiesc şi-l abandonează, pe Glass îl ţine în viaţă o singură dorinţă: răzbunarea. Cu un curaj şi o hotărâre ieşite din comun, omul munţilor parcurge, mai întâi târâş, sute de kilometri din frontiera americană neexplorată.Bazat pe fapte reale, Răzbunătorul. Legenda lui Hugh Glass e o poveste remarcabilă despre obsesie, voinţă umană împinsă până la limite şi despre cât de departe poate duce setea de răzbunare.Răzbunătorul. Legenda lui Hugh Glass are toate elementele unui roman clasic de aventuri, oferind forţă şi vitalitate poveştii dramatice a vânătorului Hugh Glass, pe care nici măcar o ursoaică grizzly nu a reuşit să-l omoare. -- Craig Johnson, autorul seriei Walt LongmireUna dintre cele mai impresionante legende despre Vestul Sălbatic. -- The Salt Like Tribune„Mormăitul crescu în intensitate, în timp ce ursoaica intra în luminiş. Îşi ţinea ochii negri aţintiţi asupra lui Glass şi capul plecat la pământ, în timp ce adulmeca mirosul străin, un miros care se amesteca acum cu cel al puilor ei. Ursoaica îl înfruntă direct, cu trupul răsucit şi încordat ca un arc puternic de trăsură. Glass se minună de muşchii incredibili ai animalului. Picioarele groase din faţă se continuau cu umeri masivi, iar deasupra de tot era cocoaşa argintie care făcea din ea un grizzly.""Citiţi cartea care a inspirat celebrul film The Revenant: Legenda lui Hugh Glass.Povestea uluitoare a personajului real Hugh Glass, vânător de blănuri şi pionier al Frontierei Americane.Michael Punke este ambasador al Statelor Unite la Organizaţia Mondială a Comerţului din Geneva, Elveţia. De asemenea, a activat în cadrul Consiliului Naţional de Securitate de la Casa Albă şi la Capitol Hill. A fost corespondentul pe subiecte istorice al revistei Montana Quarterly şi profesor la Universitatea din Montana. Michael Punke este şi autorul a două cărţi de nonficţiune: Fire and Brimstone: The North Butte Mining Disaster of 1917 şi Last Stand: George Bird Grinnell, the Battle to Save the Buffalo, and the Birth of the New West.Locuieşte în Montana.</span></p>",9786067196269,342,,2020-03-02,2021-04-05,https://www.goodreads.com/book/show/28637228-r-zbun-torul-legenda-lui-hugh-glass,28637228,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1453297390i/28637228.jpg
15,1,1,Andy Weir,,Marțianul,,4.41,,"<p><span style=""color:hsl(0, 0%, 0%);"">Membrii echipajului Ares 3 ajung pe Marte pentru o misiune programată să dureze două luni, dar o furtună puternică le dă planurile peste cap și sunt nevoiți să părăsească planeta după doar câteva zile. Însă numai cinci dintre cei șase membri ai echipajului se vor lansa spre Pământ. Mark Watney, pe care ceilalți îl cred mort, rămâne singur, cu resurse limitate de apă și de hrană. Și astfel pornește într-o uimitoare cursă pentru supraviețuire, reușind să facă ceea ce nimeni până atunci nu ar fi crezut că este posibil pe o planetă fără viață. Inteligența și umorul, stăpânirea de sine și ingeniozitatea îl vor ajuta pe Watney să facă față rând pe rând problemelor aparent insurmontabile. Dar va reuși el să se întoarcă teafăr pe Pământ? Și de unde îi poate veni salvarea?</span></p>",9786068673226,424,,2020-03-02,2021-04-01,https://www.goodreads.com/book/show/27192797-mar-ianul,27192797,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1444809081i/27192797.jpg
16,1,2,Robert Galbraith,,Troubled Blood ,,4.37,,"<p><span style=""color:hsl(0, 0%, 0%);"">Private Detective Cormoran Strike is visiting his family in Cornwall when he is approached by a woman asking for help finding her mother, Margot Bamborough — who went missing in mysterious circumstances in 1974.Strike has never tackled a cold case before, let alone one forty years old. But despite the slim chance of success, he is intrigued and takes it on; adding to the long list of cases that he and his partner in the agency, Robin Ellacott, are currently working on. And Robin herself is also juggling a messy divorce and unwanted male attention, as well as battling her own feelings about Strike.As Strike and Robin investigate Margot's disappearance, they come up against a fiendishly complex case with leads that include tarot cards, a psychopathic serial killer and witnesses who cannot all be trusted. And they learn that even cases decades old can prove to be deadly . . .</span></p>",9780751579932,944,,2021-03-30,,https://www.goodreads.com/book/show/51807232-troubled-blood,51807232,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1594301752i/51807232.jpg
17,1,1,Julia Navarro,,Conferia Sfantului Giulgiu,,3.6,,"<p><span style=""color:hsl(0, 0%, 0%);"">The Brotherhood of the Holy Shroud  is the explosive international bestseller that mixes fact and fiction to tell the riveting story of one of the world’s most controversial relics—the Holy Shroud of Turin—and the desperate race to save it from those who will stop at nothing to possess its legendary power....A fire at the Turin cathedral and the discovery of a mutilated corpse are the latest in a disturbing series of events surrounding the mysterious cloth millions believe to be the authentic burial shroud of Jesus Christ. Those who dare to investigate will be caught in the cross fire of an ancient conflict forged by mortal sacrifice, assassination, and secret societies tied to the shadowy Knights Templar.Spanning centuries and continents, from the storm-rent skies over Calvary, through the intrigue and treachery of Byzantium and the Crusades, to the modern-day citadels of Istanbul, New York, London, Paris, and Rome, The Brotherhood of the Holy Shroud races to a chilling climax in the labyrinths beneath Turin, where astounding truths will be exposed: about the history of a faith, the passions of man, and proof of the most powerful miracle of all….From the Hardcover edition.</span></p>",,384,,2021-03-06,,https://www.goodreads.com/book/show/31836622-conferia-sfantului-giulgiu,31836622,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1473018489i/31836622.jpg
